80000202-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:39.8755|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
80000202-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:39.8985|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
80000204-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:41.5933|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000204-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:41.8874|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000206-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:44.2178|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000206-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:44.2339|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000208-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:47.7625|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Grandma%20Kelly%27s%20Homestead
80000208-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:47.7805|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Grandma%20Kelly%27s%20Homestead
8000020a-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:51.1684|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Cooperativa%20de%20Quesos%20%27Las%20Cabras%27
8000020a-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:51.1804|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Cooperativa%20de%20Quesos%20%27Las%20Cabras%27
8000020c-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:54.6012|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Pavlova
8000020c-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:54.6147|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Pavlova
8000020e-0003-f200-b63f-84710c7967bb|2016-11-28 11:49:00.0824|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Specialty%20Biscuits
8000020e-0003-f200-b63f-84710c7967bb|2016-11-28 11:49:00.0959|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Specialty%20Biscuits
80000210-0003-f200-b63f-84710c7967bb|2016-11-28 11:49:03.4966|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=PB%20Kn%C3%A4ckebr%C3%B6d%20AB
80000210-0003-f200-b63f-84710c7967bb|2016-11-28 11:49:03.5137|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=PB%20Kn%C3%A4ckebr%C3%B6d%20AB
80000212-0003-f200-b63f-84710c7967bb|2016-11-28 11:49:09.5841|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/AddToBasket?gameId=b419254b-f52a-44c5-9ff9-0377bfa07581&unitsInStock=20&_=1480326544997
80000213-0003-f200-b63f-84710c7967bb|2016-11-28 11:49:11.2550|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/AddToBasket
