80000813-0000-ed00-b63f-84710c7967bb|2016-11-30 12:28:48.4553|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000029-0001-e400-b63f-84710c7967bb|2016-11-30 12:30:34.4215|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800004ba-0002-f000-b63f-84710c7967bb|2016-11-30 12:30:34.4215|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800004ba-0002-f000-b63f-84710c7967bb|2016-11-30 12:30:37.8873|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800004ba-0002-f000-b63f-84710c7967bb|2016-11-30 12:30:38.3818|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800002f0-0001-f800-b63f-84710c7967bb|2016-11-30 12:33:13.3007|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000236-0003-f700-b63f-84710c7967bb|2016-11-30 12:33:13.3007|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000236-0003-f700-b63f-84710c7967bb|2016-11-30 12:33:18.4626|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000236-0003-f700-b63f-84710c7967bb|2016-11-30 12:33:19.1749|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000081f-0000-ed00-b63f-84710c7967bb|2016-11-30 12:46:18.7406|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000c50-0002-f800-b63f-84710c7967bb|2016-11-30 12:46:23.4759|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
8000081f-0000-ed00-b63f-84710c7967bb|2016-11-30 12:46:26.4640|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000081f-0000-ed00-b63f-84710c7967bb|2016-11-30 12:46:27.1545|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000021b-0000-ea00-b63f-84710c7967bb|2016-11-30 12:51:21.1739|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800006c5-0000-f400-b63f-84710c7967bb|2016-11-30 12:53:03.1303|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001e3-0002-ea00-b63f-84710c7967bb|2016-11-30 12:53:05.4033|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800006c5-0000-f400-b63f-84710c7967bb|2016-11-30 12:53:07.9996|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
