8000019a-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:20.7249|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear
8000019a-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:20.7679|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear
8000019a-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:20.8089|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear
8000019c-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:25.5876|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week
8000019c-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:25.6056|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week
8000019c-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:25.6521|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week
8000019e-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:30.1221|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear
8000019e-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:30.1432|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear
8000019e-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:30.2152|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear
800001a0-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:34.6918|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&SelectedGenresName=Arcade
800001a0-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:34.7038|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&SelectedGenresName=Arcade
800001a0-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:34.7468|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&SelectedGenresName=Arcade
800001a2-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:39.7731|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&SelectedGenresName=Action
800001a2-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:39.7976|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&SelectedGenresName=Action
800001a2-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:39.8577|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&SelectedGenresName=Action
800001a4-0001-f600-b63f-84710c7967bb|2016-11-23 10:24:28.3098|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear
800001a4-0001-f600-b63f-84710c7967bb|2016-11-23 10:24:28.3408|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear
800001a4-0001-f600-b63f-84710c7967bb|2016-11-23 10:24:28.3890|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear
800001a6-0001-f600-b63f-84710c7967bb|2016-11-23 10:24:33.8314|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&SelectedGenresName=Action
800001a6-0001-f600-b63f-84710c7967bb|2016-11-23 10:24:33.8474|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&SelectedGenresName=Action
800001a6-0001-f600-b63f-84710c7967bb|2016-11-23 10:24:33.8882|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&SelectedGenresName=Action
80000a50-0001-e900-b63f-84710c7967bb|2016-11-23 10:25:45.3965|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000a50-0001-e900-b63f-84710c7967bb|2016-11-23 10:25:49.1329|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000a50-0001-e900-b63f-84710c7967bb|2016-11-23 10:25:49.7141|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000a52-0001-e900-b63f-84710c7967bb|2016-11-23 10:26:02.0144|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&SelectedTypesName=Console
80000a52-0001-e900-b63f-84710c7967bb|2016-11-23 10:26:02.0369|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&SelectedTypesName=Console
80000a52-0001-e900-b63f-84710c7967bb|2016-11-23 10:26:02.1059|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&SelectedTypesName=Console
80000a54-0001-e900-b63f-84710c7967bb|2016-11-23 10:26:08.3465|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&SelectedTypesName=Browser
80000a54-0001-e900-b63f-84710c7967bb|2016-11-23 10:26:08.3625|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&SelectedTypesName=Browser
80000a54-0001-e900-b63f-84710c7967bb|2016-11-23 10:26:08.4168|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&SelectedTypesName=Browser
