800001a6-0000-f200-b63f-84710c7967bb|2016-11-25 16:19:28.6953|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?PageSize=20
800001a8-0000-f200-b63f-84710c7967bb|2016-11-25 16:19:33.5119|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?PageSize=10
800001a8-0000-f200-b63f-84710c7967bb|2016-11-25 16:19:33.6355|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?PageSize=10
80000046-0003-e600-b63f-84710c7967bb|2016-11-25 16:34:20.6383|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000046-0003-e600-b63f-84710c7967bb|2016-11-25 16:34:28.7843|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000280-0003-e000-b63f-84710c7967bb|2016-11-25 16:43:10.1212|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000280-0003-e000-b63f-84710c7967bb|2016-11-25 16:43:19.0629|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000282-0003-e000-b63f-84710c7967bb|2016-11-25 16:43:23.7884|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=New%20Orleans%20Cajun%20Delights
800006a3-0001-ee00-b63f-84710c7967bb|2016-11-25 16:44:18.3340|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800006a3-0001-ee00-b63f-84710c7967bb|2016-11-25 16:44:23.2487|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800006a5-0001-ee00-b63f-84710c7967bb|2016-11-25 16:44:30.4611|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Grandma%20Kelly%27s%20Homestead
80000273-0000-f800-b63f-84710c7967bb|2016-11-25 16:44:54.1423|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000273-0000-f800-b63f-84710c7967bb|2016-11-25 16:44:58.6347|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000275-0000-f800-b63f-84710c7967bb|2016-11-25 16:45:02.8986|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=New%20Orleans%20Cajun%20Delights
80000061-0000-fa00-b63f-84710c7967bb|2016-11-25 16:45:16.8866|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000061-0000-fa00-b63f-84710c7967bb|2016-11-25 16:45:20.5568|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000063-0000-fa00-b63f-84710c7967bb|2016-11-25 16:45:24.7962|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
80000063-0000-fa00-b63f-84710c7967bb|2016-11-25 16:45:28.5107|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=GamesCorporation
80000065-0000-fa00-b63f-84710c7967bb|2016-11-25 16:45:31.4810|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
