80000121-0000-fb00-b63f-84710c7967bb|2016-12-02 12:36:20.2488|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000153-0001-eb00-b63f-84710c7967bb|2016-12-02 12:36:26.9209|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000121-0000-fb00-b63f-84710c7967bb|2016-12-02 12:36:26.9259|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000153-0001-eb00-b63f-84710c7967bb|2016-12-02 12:36:27.3592|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000121-0000-fb00-b63f-84710c7967bb|2016-12-02 12:36:27.3592|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001f9-0000-eb00-b63f-84710c7967bb|2016-12-02 12:37:09.0439|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000f6-0000-e700-b63f-84710c7967bb|2016-12-02 12:37:09.0439|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800000f6-0000-e700-b63f-84710c7967bb|2016-12-02 12:37:15.6733|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800001f9-0000-eb00-b63f-84710c7967bb|2016-12-02 12:37:15.6758|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000f6-0000-e700-b63f-84710c7967bb|2016-12-02 12:37:16.1396|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800001f9-0000-eb00-b63f-84710c7967bb|2016-12-02 12:37:16.1396|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000a0-0003-fa00-b63f-84710c7967bb|2016-12-02 12:38:37.4485|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800005f8-0001-e600-b63f-84710c7967bb|2016-12-02 12:38:37.4485|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800000a0-0003-fa00-b63f-84710c7967bb|2016-12-02 12:38:42.1785|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000a0-0003-fa00-b63f-84710c7967bb|2016-12-02 12:38:42.9832|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000065-0001-ed00-b63f-84710c7967bb|2016-12-02 12:39:38.4753|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800006d7-0000-f600-b63f-84710c7967bb|2016-12-02 12:39:38.4753|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800006d7-0000-f600-b63f-84710c7967bb|2016-12-02 12:39:43.0511|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800006d7-0000-f600-b63f-84710c7967bb|2016-12-02 12:39:43.7524|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000090-0001-f300-b63f-84710c7967bb|2016-12-02 12:41:29.9388|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80001a40-0000-f900-b63f-84710c7967bb|2016-12-02 12:41:29.9388|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80001a40-0000-f900-b63f-84710c7967bb|2016-12-02 12:41:34.8282|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000090-0001-f300-b63f-84710c7967bb|2016-12-02 12:41:34.8282|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000090-0001-f300-b63f-84710c7967bb|2016-12-02 12:41:35.2428|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80001a40-0000-f900-b63f-84710c7967bb|2016-12-02 12:41:35.2428|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
