800001cf-0002-f800-b63f-84710c7967bb|2016-11-24 17:51:14.8861|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games/Index
800001d1-0002-f800-b63f-84710c7967bb|2016-11-24 17:51:33.6367|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
800001d1-0002-f800-b63f-84710c7967bb|2016-11-24 17:51:33.9444|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
800001d3-0002-f800-b63f-84710c7967bb|2016-11-24 17:51:53.4556|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800001d3-0002-f800-b63f-84710c7967bb|2016-11-24 17:51:53.5898|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800001d5-0002-f800-b63f-84710c7967bb|2016-11-24 17:52:07.0812|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update
8000008f-0001-f900-b63f-84710c7967bb|2016-11-24 17:53:41.4619|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000058-0002-ed00-b63f-84710c7967bb|2016-11-24 17:54:32.3362|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000058-0002-ed00-b63f-84710c7967bb|2016-11-24 17:54:37.2652|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000b9-0002-f200-b63f-84710c7967bb|2016-11-24 17:55:33.4315|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000b9-0002-f200-b63f-84710c7967bb|2016-11-24 17:55:38.3783|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000bb-0002-f200-b63f-84710c7967bb|2016-11-24 17:55:55.3820|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/AddToBasket?gameId=00000000-0000-0000-0000-000000000000&unitsInStock=39&_=1480002939253
800000bd-0002-f200-b63f-84710c7967bb|2016-11-24 17:55:57.9201|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/AddToBasket
80000371-0002-ec00-b63f-84710c7967bb|2016-11-24 17:58:54.5273|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000371-0002-ec00-b63f-84710c7967bb|2016-11-24 17:58:59.5314|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000166-0001-e600-b63f-84710c7967bb|2016-11-24 18:01:19.6582|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
